Date,Returns,Unemployment Rate,Inflation Rate,Misery Index,local_price,Bullish,Neutral,Bearish
2015-01-23,-0.9185578637721982,-0.034482758620689724,-0.4242424242424243,-0.10674157303370779,0.036943593440252,-0.1944002828271436,-0.01034914873390369,0.4325782845552284
2015-01-24,-0.9185578637721982,-0.034482758620689724,-0.4242424242424243,-0.10674157303370779,0.036943593440252,-0.1944002828271436,-0.01034914873390369,0.4325782845552284
2015-01-25,-0.9185578637721982,-0.034482758620689724,-0.4242424242424243,-0.10674157303370779,0.036943593440252,-0.1944002828271436,-0.01034914873390369,0.4325782845552284
2015-01-26,-0.9185578637721982,-0.034482758620689724,-0.4242424242424243,-0.10674157303370779,0.036943593440252,-0.1944002828271436,-0.01034914873390369,0.4325782845552284
2015-01-27,-0.9185578637721982,-0.034482758620689724,-0.4242424242424243,-0.10674157303370779,0.036943593440252,-0.1944002828271436,-0.01034914873390369,0.4325782845552284
2015-01-28,-0.9185578637721982,-0.034482758620689724,-0.4242424242424243,-0.10674157303370779,0.036943593440252,-0.1944002828271436,-0.01034914873390369,0.4325782845552284
2015-01-29,-0.9185578637721982,-0.034482758620689724,-0.4242424242424243,-0.10674157303370779,0.036943593440252,0.18923939703146497,0.04279320722940416,-0.27281879085657135
2015-01-30,-0.9185578637721982,-0.034482758620689724,-0.4242424242424243,-0.10674157303370779,0.036943593440252,0.18923939703146497,0.04279320722940416,-0.27281879085657135
2015-01-31,2.7515967660831864,0.017857142857143016,-1.118421052631579,-0.11792452830188682,-0.0010427528675703845,0.18923939703146497,0.04279320722940416,-0.27281879085657135
2015-02-01,2.7515967660831864,0.017857142857143016,-1.118421052631579,-0.11792452830188682,-0.0010427528675703845,0.18923939703146497,0.04279320722940416,-0.27281879085657135
2015-02-02,2.7515967660831864,0.017857142857143016,-1.118421052631579,-0.11792452830188682,-0.0010427528675703845,0.18923939703146497,0.04279320722940416,-0.27281879085657135
2015-02-03,2.7515967660831864,0.017857142857143016,-1.118421052631579,-0.11792452830188682,-0.0010427528675703845,0.18923939703146497,0.04279320722940416,-0.27281879085657135
2015-02-04,2.7515967660831864,0.017857142857143016,-1.118421052631579,-0.11792452830188682,-0.0010427528675703845,0.18923939703146497,0.04279320722940416,-0.27281879085657135
2015-02-05,2.7515967660831864,0.017857142857143016,-1.118421052631579,-0.11792452830188682,-0.0010427528675703845,-0.1964352822388945,-0.04048678653889859,0.44794262390253947
2015-02-06,2.7515967660831864,0.017857142857143016,-1.118421052631579,-0.11792452830188682,-0.0010427528675703845,-0.1964352822388945,-0.04048678653889859,0.44794262390253947
2015-02-07,2.7515967660831864,0.017857142857143016,-1.118421052631579,-0.11792452830188682,-0.0010427528675703845,-0.1964352822388945,-0.04048678653889859,0.44794262390253947
2015-02-08,2.7515967660831864,0.017857142857143016,-1.118421052631579,-0.11792452830188682,-0.0010427528675703845,-0.1964352822388945,-0.04048678653889859,0.44794262390253947
2015-02-09,2.7515967660831864,0.017857142857143016,-1.118421052631579,-0.11792452830188682,-0.0010427528675703845,-0.1964352822388945,-0.04048678653889859,0.44794262390253947
2015-02-10,2.7515967660831864,0.017857142857143016,-1.118421052631579,-0.11792452830188682,-0.0010427528675703845,-0.1964352822388945,-0.04048678653889859,0.44794262390253947
2015-02-11,2.7515967660831864,0.017857142857143016,-1.118421052631579,-0.11792452830188682,-0.0010427528675703845,-0.1964352822388945,-0.04048678653889859,0.44794262390253947
