Date,EMA12_pctchg,RSI,Pct_Chg,MACD_sentiment,Upper_BB_pctchg,Lower_BB_pctchg,EMA_sentiment,Volume_sentiment,bull_target,bear_target
2019-07-19,0.07003167214223863,55.345056998837606,-0.42765122654551124,1,2.491165948547463,3.7767272933113114,1,1,0,1
2019-07-22,0.12229441544702971,56.46468391166292,0.21474396848792932,1,2.283723192379844,3.7013491264673166,1,1,0,1
2019-07-23,0.9791816665389428,61.467822668548415,1.035717555454796,1,1.3074955208238008,4.359538402716804,1,0,0,1
2019-07-24,1.6991529993451215,65.69212533700895,1.0250936684117917,0,0.3761098210508735,4.914991872741814,1,0,0,1
2019-07-25,0.8342838671116508,60.76930370178187,-0.6997927343364352,0,0.8035564742061442,3.3499330678399186,1,1,0,1
2019-07-26,1.6330539338931145,65.11122278016529,1.0923234054198705,0,0.26749848206464233,3.932180952391136,1,1,0,1
2019-07-29,0.721421952767819,60.05711101029232,-0.766821947047247,0,0.5272635941711682,2.838837183307279,1,1,0,1
2019-07-30,0.3707017053064689,58.29415408687497,-0.280997280068529,0,0.8835633885612537,2.4616741028912426,1,1,0,1
2019-07-31,0.10515943795367975,55.25303653966569,-0.4931292450097158,1,1.3586984185136761,1.7985717215658008,1,0,0,1
2019-08-01,2.0112416062525713,44.0080906509662,-2.265484565127207,1,3.7492255389377984,0.17179823181220621,1,0,0,1
2019-08-02,1.7373212847755837,43.85865640168999,-0.03621958949934223,1,3.891748088273285,0.11105873964792565,1,0,0,1
2019-08-05,4.274517440714672,32.86025253872374,-3.3333335636894446,1,7.832724584332995,1.9320693065435837,0,0,1,0
2019-08-06,2.321205797212635,40.35094598761707,1.611695278325631,1,6.519802809102907,0.19883023822145465,0,1,0,1
2019-08-07,3.078783168925919,36.68006646351638,-1.3279254970363308,1,8.062370953632021,0.332304083755434,0,0,0,1
2019-08-08,1.04353961830164,44.362741911845596,1.906542911707798,1,6.2982536318349185,1.8848610533824428,0,0,0,1
2019-08-09,1.1618907748797738,43.367849716258064,-0.3301546288783097,1,6.521603525255316,1.8844658978977753,0,1,0,1
2019-08-12,2.5959520131371465,38.08107775349409,-1.9138772775248447,1,8.41158051417758,0.6251375816173026,0,1,0,1
2019-08-13,1.1785242818994686,42.82061061697453,1.2382736526442617,1,7.228699989656902,2.2406117678805058,0,0,0,1
2019-08-14,4.127218088415626,34.297093277103016,-3.706449284532165,1,11.023143792855272,0.40404549912811505,0,0,1,0
2019-08-15,3.103746954734821,36.06958279512564,0.5003890315852022,1,10.673423112968507,0.9699605369103852,0,1,1,0
2019-08-16,1.1843292580752973,42.00142618868745,1.761773549290102,1,9.020728132287912,3.1942995760168125,0,1,1,0
2019-08-19,0.15250129050464223,45.19914470246682,1.0161854003192472,1,7.9253638369570085,4.4937969009299605,0,1,0,1
2019-08-20,1.2651448149641353,41.89903133273396,-1.3412839355623207,1,8.868989349766606,3.4458541564741485,0,1,1,0
2019-08-21,0.692773845482972,43.37557639843662,0.4531753825825824,1,7.898444715837936,4.004418299699888,0,1,1,0
2019-08-22,0.017574271352869493,45.59752580868986,0.6766928668962446,1,6.752739876316538,4.700758160525476,0,1,1,0
