Date,Returns,Unemployment Rate,Inflation Rate,Misery Index,local_price,Bullish,Neutral,Bearish,EMA12_pctchg,RSI,Pct_Chg,MACD_sentiment,Upper_BB_pctchg,Lower_BB_pctchg,EMA_sentiment,Volume_sentiment,bull_target,bear_target
2018-04-09,-0.8163631848837499,0.0,0.0678733031674208,0.02377179080824088,-0.0037735849056602655,-0.0012368448245089205,-0.038766439078036896,0.03704007721636149,0.804627991710956,43.390993917766046,0.4928379690746887,1.0,6.8280456678793096,3.2066087280775792,0.0,1.0,1.0,0.0
2018-04-09,-0.8163631848837499,0.0,0.0678733031674208,0.02377179080824088,-0.0037735849056602655,-0.0012368448245089205,-0.038766439078036896,0.03704007721636149,1.4041827066110533,42.48945358031638,0.702286158740506,1.0,10.279448690254151,4.2246283671852565,0.0,1.0,1.0,0.0
2018-04-09,-0.8163631848837499,0.0,0.0678733031674208,0.02377179080824088,-0.0037735849056602655,-0.0012368448245089205,-0.038766439078036896,0.03704007721636149,0.9578517376344904,42.86476624226494,0.5520780938869096,1.0,8.115149774228916,3.980591219476549,0.0,1.0,1.0,0.0
2018-04-10,-0.8163631848837499,0.0,0.0678733031674208,0.02377179080824088,-0.0037735849056602655,-0.0012368448245089205,-0.038766439078036896,0.03704007721636149,0.6529742508600042,48.47628469590094,1.5900359756645166,1.0,4.7024185327596415,4.617411586491063,0.0,1.0,0.0,1.0
2018-04-10,-0.8163631848837499,0.0,0.0678733031674208,0.02377179080824088,-0.0037735849056602655,-0.0012368448245089205,-0.038766439078036896,0.03704007721636149,0.6517346272888087,47.96536977072342,2.206308933361956,1.0,7.425902501171103,6.2623662606253765,0.0,1.0,0.0,1.0
2018-04-10,-0.8163631848837499,0.0,0.0678733031674208,0.02377179080824088,-0.0037735849056602655,-0.0012368448245089205,-0.038766439078036896,0.03704007721636149,0.4468332269832832,47.16529223342823,1.5007315226646334,1.0,5.903752106396141,5.236490509886263,0.0,1.0,0.0,1.0
2018-04-11,-0.8163631848837499,0.0,0.0678733031674208,0.02377179080824088,-0.0037735849056602655,-0.0012368448245089205,-0.038766439078036896,0.03704007721636149,0.10602429485967678,46.96235490533104,-0.5242255941374951,0.0,4.6069297200554455,3.888776336960553,0.0,1.0,0.0,1.0
2018-04-11,-0.8163631848837499,0.0,0.0678733031674208,0.02377179080824088,-0.0037735849056602655,-0.0012368448245089205,-0.038766439078036896,0.03704007721636149,0.0601402668413804,46.69238097488594,-0.5768921877293831,1.0,7.259076788938142,5.528971075357221,0.0,1.0,0.0,1.0
2018-04-11,-0.8163631848837499,0.0,0.0678733031674208,0.02377179080824088,-0.0037735849056602655,-0.0012368448245089205,-0.038766439078036896,0.03704007721636149,0.6341025421647064,44.29040640949471,-1.190046625148411,1.0,6.332254301697217,3.8639327119147415,0.0,1.0,1.0,0.0
2018-04-12,-0.8163631848837499,0.0,0.0678733031674208,0.02377179080824088,-0.0037735849056602655,-0.18213853514167666,-0.009728114919515085,0.16692277668752853,0.7854677655119839,49.595388349670095,0.8227111123041198,0.0,3.2965192105722823,4.510566209641528,0.0,1.0,1.0,0.0
